"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年5月3日","30,081.55","29,818.48","30,081.55","29,678.86","1.26B","0.46%"
"2019年5月2日","29,944.18","29,643.05","29,967.74","29,643.05","1.34B","0.83%"
"2019年4月30日","29,699.11","29,828.15","29,855.76","29,620.45","1.40B","-0.65%"
"2019年4月29日","29,892.81","29,730.85","29,917.11","29,639.38","1.29B","0.97%"
"2019年4月26日","29,605.01","29,513.08","29,672.79","29,504.14","1.45B","0.19%"
"2019年4月25日","29,549.80","29,667.52","29,849.70","29,535.20","1.70B","-0.86%"
"2019年4月24日","29,805.83","30,112.19","30,112.19","29,682.87","1.80B","-0.53%"
"2019年4月23日","29,963.24","29,782.95","30,055.94","29,755.87","2.07B","-0.00%"
"2019年4月18日","29,963.26","30,088.65","30,101.83","29,896.86","1.62B","-0.54%"
"2019年4月17日","30,124.68","30,160.69","30,178.58","30,004.97","2.10B","-0.02%"
"2019年4月16日","30,129.87","29,754.30","30,142.86","29,665.11","2.62B","1.07%"
"2019年4月15日","29,810.72","30,119.85","30,280.12","29,810.72","2.07B","-0.33%"
"2019年4月12日","29,909.76","29,806.35","29,909.76","29,694.85","1.61B","0.24%"
"2019年4月11日","29,839.45","30,138.14","30,184.61","29,783.67","1.96B","-0.93%"
"2019年4月10日","30,119.56","30,052.27","30,139.61","29,892.62","1.87B","-0.13%"
"2019年4月9日","30,157.49","30,065.99","30,222.02","30,018.98","2.11B","0.27%"
"2019年4月8日","30,077.15","30,119.58","30,185.06","29,913.62","2.39B","0.47%"
"2019年4月4日","29,936.32","29,950.42","30,050.91","29,765.55","1.91B","-0.17%"
"2019年4月3日","29,986.39","29,785.27","29,999.34","29,715.77","2.08B","1.22%"
"2019年4月2日","29,624.67","29,736.99","29,736.99","29,534.42","1.92B","0.21%"
"2019年4月1日","29,562.02","29,383.72","29,612.37","29,383.72","2.55B","1.76%"
"2019年3月29日","29,051.36","28,812.64","29,100.69","28,761.88","2.78B","0.96%"
"2019年3月28日","28,775.21","28,663.20","28,816.59","28,558.80","1.63B","0.16%"
"2019年3月27日","28,728.25","28,564.71","28,781.63","28,551.65","1.52B","0.56%"
"2019年3月26日","28,566.91","28,677.76","28,701.60","28,435.06","1.45B","0.15%"
"2019年3月25日","28,523.35","28,501.37","28,702.24","28,463.11","2.16B","-2.03%"
