,trade_date,open,close,high,low,pre_close,change,pct_chg,ts_code
384,20181029,24955.79,24812.04,24955.79,24594.74,24717.63,94.41,0.382,HSI
385,20181026,25031.49,24717.63,25062.2,24589.04,24994.46,-276.83,-1.1076,HSI
386,20181025,24766.72,24994.46,24994.46,24653.79,25249.78,-255.32,-1.0112,HSI
387,20181024,25401.17,25249.78,25653.36,25194.29,25346.55,-96.77,-0.3818,HSI
388,20181023,26015.49,25346.55,26015.49,25315.76,26153.15,-806.6,-3.0841,HSI
389,20181022,25668.33,26153.15,26234.86,25668.33,25561.4,591.75,2.315,HSI
390,20181019,25172.03,25561.4,25743.45,25090.3,25454.55,106.85,0.4198,HSI
391,20181018,25674.66,25454.55,25674.66,25261.72,25462.26,-7.71,-0.0303,HSI
392,20181016,25586.16,25462.26,25712.13,25266.54,25445.06,17.2,0.0676,HSI
393,20181015,25683.59,25445.06,25683.59,25399.54,25801.49,-356.43,-1.3814,HSI
394,20181012,25401.41,25801.49,25835.76,25286.86,25266.37,535.12,2.1179,HSI
395,20181011,25392.9,25266.37,25437.85,25125.22,26193.07,-926.7,-3.538,HSI
396,20181010,26281.28,26193.07,26499.84,26193.07,26172.91,20.16,0.077,HSI
397,20181009,26194.17,26172.91,26366.6,26067.51,26202.57,-29.66,-0.1132,HSI
398,20181008,26717.6,26202.57,26717.6,26187.83,26572.57,-370.0,-1.3924,HSI
399,20180928,27879.06,27788.52,27927.95,27672.83,27715.67,72.85,0.2628,HSI
400,20180927,27912.51,27715.67,27928.29,27638.54,27816.87,-101.2,-0.3638,HSI
401,20180926,27606.81,27816.87,28031.81,27589.37,27499.39,317.48,1.1545,HSI
402,20180921,27712.35,27953.58,27965.96,27536.27,27477.67,475.91,1.732,HSI
403,20180920,27605.72,27477.67,27628.19,27327.23,27407.37,70.3,0.2565,HSI
404,20180919,27170.02,27407.37,27488.35,27085.79,27084.66,322.71,1.1915,HSI
405,20180918,26846.33,27084.66,27156.55,26648.99,26932.85,151.81,0.5637,HSI
406,20180917,27029.91,26932.85,27037.48,26763.21,27286.41,-353.56,-1.2957,HSI
407,20180914,27229.79,27286.41,27340.02,27027.45,27014.49,271.92,1.0066,HSI
408,20180913,26798.39,27014.49,27014.49,26648.77,26345.04,669.45,2.5411,HSI
409,20180912,26462.82,26345.04,26468.91,26219.56,26422.55,-77.51,-0.2933,HSI
410,20180911,26611.93,26422.55,26690.65,26394.87,26613.42,-190.87,-0.7172,HSI
411,20180910,26922.27,26613.42,26926.63,26453.29,26973.47,-360.05,-1.3348,HSI
412,20180907,26895.87,26973.47,27196.57,26669.58,26974.82,-1.35,-0.005,HSI
413,20180906,27069.21,26974.82,27268.39,26818.82,27243.85,-269.03,-0.9875,HSI
414,20180905,27789.02,27243.85,27861.99,27208.34,27973.34,-729.49,-2.6078,HSI
415,20180904,27619.18,27973.34,27984.89,27563.79,27712.54,260.8,0.9411,HSI
416,20180903,27809.45,27712.54,27822.19,27577.04,27888.55,-176.01,-0.6311,HSI
417,20180831,27798.21,27888.55,27962.03,27720.32,28164.05,-275.5,-0.9782,HSI
418,20180830,28533.93,28164.05,28533.93,28121.4,28416.44,-252.39,-0.8882,HSI
419,20180829,28362.84,28416.44,28485.83,28272.13,28351.62,64.82,0.2286,HSI
420,20180828,28530.89,28351.62,28579.64,28234.53,28271.27,80.35,0.2842,HSI
421,20180827,28016.66,28271.27,28289.06,27956.04,27671.87,599.4,2.1661,HSI
422,20180824,27565.98,27671.87,27830.91,27532.06,27790.46,-118.59,-0.4267,HSI
423,20180823,28005.33,27790.46,28051.65,27659.21,27927.58,-137.12,-0.491,HSI
424,20180822,27836.68,27927.58,27954.52,27579.8,27752.79,174.79,0.6298,HSI
425,20180821,27670.54,27752.79,27771.3,27526.3,27598.02,154.77,0.5608,HSI
426,20180820,27273.78,27598.02,27609.8,27209.22,27213.41,384.61,1.4133,HSI
427,20180817,27388.57,27213.41,27450.84,27101.1,27100.06,113.35,0.4183,HSI
428,20180816,26871.11,27100.06,27405.25,26871.11,27323.59,-223.53,-0.8181,HSI
429,20180815,27724.72,27323.59,27727.27,27249.08,27752.93,-429.34,-1.547,HSI
430,20180814,27938.32,27752.93,27946.55,27522.82,27936.57,-183.64,-0.6573,HSI
431,20180813,27956.78,27936.57,28085.17,27823.21,28366.62,-430.05,-1.516,HSI
432,20180810,28614.73,28366.62,28665.9,28296.99,28607.3,-240.68,-0.8413,HSI
433,20180809,28260.5,28607.3,28728.17,28192.81,28359.14,248.16,0.8751,HSI
434,20180808,28473.48,28359.14,28473.48,28224.46,28248.88,110.26,0.3903,HSI
435,20180807,27889.44,28248.88,28266.68,27843.16,27819.56,429.32,1.5432,HSI
436,20180806,27885.51,27819.56,28074.53,27730.42,27676.32,143.24,0.5176,HSI
437,20180803,27751.6,27676.32,27786.15,27604.56,27714.56,-38.24,-0.138,HSI
438,20180802,28159.01,27714.56,28218.28,27578.09,28340.74,-626.18,-2.2095,HSI
439,20180801,28756.72,28340.74,28772.8,28219.97,28583.01,-242.27,-0.8476,HSI
440,20180731,28663.14,28583.01,28682.31,28538.03,28733.13,-150.12,-0.5225,HSI
441,20180730,28631.05,28733.13,28839.24,28539.56,28804.28,-71.15,-0.247,HSI
442,20180727,28734.73,28804.28,28816.69,28572.79,28781.14,23.14,0.0804,HSI
443,20180726,29083.4,28781.14,29083.4,28625.08,28920.9,-139.76,-0.4832,HSI
444,20180725,28906.97,28920.9,28964.79,28764.35,28662.57,258.33,0.9013,HSI
445,20180724,28282.3,28662.57,28718.0,28282.3,28256.12,406.45,1.4384,HSI
446,20180723,28298.61,28256.12,28391.58,28091.06,28224.48,31.64,0.1121,HSI
447,20180720,28054.76,28224.48,28294.74,27745.85,28010.86,213.62,0.7626,HSI
448,20180719,28251.16,28010.86,28329.98,27998.36,28117.42,-106.56,-0.379,HSI
449,20180718,28352.11,28117.42,28386.38,28045.47,28181.68,-64.26,-0.228,HSI
450,20180717,28451.5,28181.68,28460.87,28137.95,28539.66,-357.98,-1.2543,HSI
451,20180716,28580.96,28539.66,28699.21,28327.0,28525.44,14.22,0.0499,HSI
452,20180713,28689.18,28525.44,28715.36,28500.51,28480.83,44.61,0.1566,HSI
453,20180712,28260.09,28480.83,28614.53,28217.31,28311.69,169.14,0.5974,HSI
454,20180711,28013.72,28311.69,28365.72,28013.72,28682.25,-370.56,-1.2919,HSI
455,20180710,28900.71,28682.25,28981.93,28682.25,28688.5,-6.25,-0.0218,HSI
456,20180709,28606.16,28688.5,28821.54,28518.52,28315.62,372.88,1.3169,HSI
457,20180706,28254.37,28315.62,28554.21,27925.33,28182.09,133.53,0.4738,HSI
458,20180705,28101.85,28182.09,28320.9,27830.75,28241.67,-59.58,-0.211,HSI
459,20180704,28546.32,28241.67,28642.34,28141.28,28545.57,-303.9,-1.0646,HSI
460,20180703,28617.0,28545.57,28617.0,27990.45,28955.11,-409.54,-1.4144,HSI
461,20180629,28463.85,28955.11,28962.29,28463.85,28497.32,457.79,1.6064,HSI
462,20180628,28368.01,28497.32,28567.29,28169.1,28356.26,141.06,0.4975,HSI
463,20180627,28957.64,28356.26,28988.83,28342.82,28881.4,-525.14,-1.8183,HSI
464,20180626,28881.18,28881.4,29034.23,28505.09,28961.39,-79.99,-0.2762,HSI
465,20180625,29326.12,28961.39,29403.36,28895.4,29338.7,-377.31,-1.286,HSI
466,20180622,29215.54,29338.7,29436.84,29089.39,29296.05,42.65,0.1456,HSI
467,20180621,29764.05,29296.05,29882.27,29285.71,29696.17,-400.12,-1.3474,HSI
468,20180620,29478.46,29696.17,29944.3,29406.2,29468.15,228.02,0.7738,HSI
469,20180619,29999.01,29468.15,30012.04,29332.28,30309.49,-841.34,-2.7758,HSI
470,20180615,30411.07,30309.49,30519.29,30259.11,30440.17,-130.68,-0.4293,HSI
471,20180614,30684.07,30440.17,30777.96,30349.96,30725.15,-284.98,-0.9275,HSI
472,20180613,30990.37,30725.15,31023.73,30688.26,31103.06,-377.91,-1.215,HSI
473,20180612,31029.85,31103.06,31242.86,30944.97,31063.7,39.36,0.1267,HSI
474,20180611,31016.52,31063.7,31134.03,30898.57,30958.21,105.49,0.3407,HSI
475,20180608,31435.26,30958.21,31435.26,30874.1,31512.63,-554.42,-1.7594,HSI
476,20180607,31464.63,31512.63,31521.13,31369.28,31259.1,253.53,0.8111,HSI
477,20180606,31162.02,31259.1,31332.42,31161.37,31093.45,165.65,0.5327,HSI
478,20180605,31009.47,31093.45,31188.93,30896.11,30997.98,95.47,0.308,HSI
479,20180604,30836.77,30997.98,31012.92,30743.18,30492.91,505.07,1.6564,HSI
480,20180601,30548.78,30492.91,30581.12,30363.49,30468.56,24.35,0.0799,HSI
481,20180531,30274.18,30468.56,30533.58,30148.43,30056.79,411.77,1.37,HSI
482,20180530,30109.37,30056.79,30241.23,29964.34,30484.58,-427.79,-1.4033,HSI
483,20180529,30647.26,30484.58,30713.32,30454.18,30792.26,-307.68,-0.9992,HSI
484,20180528,30759.84,30792.26,30839.3,30530.47,30588.04,204.22,0.6676,HSI
485,20180525,30664.27,30588.04,30736.97,30525.74,30760.41,-172.37,-0.5604,HSI
486,20180524,30718.66,30760.41,30788.97,30589.38,30665.64,94.77,0.309,HSI
487,20180523,31191.87,30665.64,31191.87,30665.64,31234.35,-568.71,-1.8208,HSI
488,20180521,31232.79,31234.35,31464.1,31232.79,31047.91,186.44,0.6005,HSI
489,20180518,31033.97,31047.91,31148.06,30904.68,30942.15,105.76,0.3418,HSI
490,20180517,31416.71,30942.15,31416.71,30942.15,31110.2,-168.05,-0.5402,HSI
491,20180516,31014.72,31110.2,31218.08,30818.78,31152.03,-41.83,-0.1343,HSI
492,20180515,31573.18,31152.03,31573.18,31152.03,31541.08,-389.05,-1.2335,HSI
493,20180514,31498.36,31541.08,31592.56,31423.57,31122.06,419.02,1.3464,HSI
494,20180511,31151.8,31122.06,31277.39,31032.44,30809.22,312.84,1.0154,HSI
495,20180510,30716.97,30809.22,30851.3,30712.93,30536.14,273.08,0.8943,HSI
496,20180509,30452.16,30536.14,30568.76,30346.62,30402.81,133.33,0.4385,HSI
497,20180508,30123.77,30402.81,30444.22,30123.77,29994.26,408.55,1.3621,HSI
498,20180507,30102.06,29994.26,30138.33,29791.87,29926.5,67.76,0.2264,HSI
499,20180504,30316.98,29926.5,30341.46,29859.3,30313.37,-386.87,-1.2762,HSI
500,20180503,30405.48,30313.37,30432.07,30118.65,30723.88,-410.51,-1.3361,HSI
501,20180502,30782.21,30723.88,30824.77,30570.81,30808.45,-84.57,-0.2745,HSI
502,20180427,30300.83,30280.67,30336.0,30019.12,30007.68,272.99,0.9097,HSI
503,20180426,30378.15,30007.68,30463.42,29871.2,30328.15,-320.47,-1.0567,HSI
504,20180425,30486.86,30328.15,30507.19,30244.16,30636.24,-308.09,-1.0056,HSI
505,20180424,30353.83,30636.24,30665.1,30335.29,30254.4,381.84,1.2621,HSI
